title,price,rating,discount,offers,link,image,availability
Panasonic 139 cm \ 4K Ultra HD Smart Android LED TV TH-55MX700DX \ \(2023 Model,11999,3.8 stars,,,https://www.amazon.in/SKYLIVE-Bezel-Less-Android-SL40PROV-Command/dp/B0CRS2YQ3L/ref=sr_1_3?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-3,https://m.media-amazon.com/images/I/813rnVFP+CL._AC_UY218_.jpg,
108cm  Full HD Smart LED TV TH-43MS550DX (Black,31990,3.8 stars,19% off,"FREE delivery as soon as Mon, 16 Fe",https://www.amazon.in/Panasonic-108cm-Inches-Smart-TH-43MS550DX/dp/B0CJRZRZ15/ref=sr_1_6?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-6,https://m.media-amazon.com/images/I/61qGZUeJk9L._AC_UY218_.jpg,in stock
Nexavision 140 cm \ 4K Ultra HD LED Smart WebOS TV Magic Remote with Voice Recognition 55NVUW,37000,,,,https://www.amazon.in/HEURIX-Assistant-Streaming-Connectivity-Entertainment/dp/B0FLY6523L/ref=sr_1_8?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-8,https://m.media-amazon.com/images/I/71XS8P-dl+L._AC_UY218_.jpg,
140 cm  4K Ultra HD LED Smart WebOS TV Magic Remote with Voice Recognition 55NVUW,32990,,,,https://www.amazon.in/dp/B0GM7PCQND/ref=sr_1_9?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-9,https://m.media-amazon.com/images/I/21IbfDZG0vL._AC_UY218_.jpg,
HD Google LED TV Smart TV with Built-in Google Assistant | Streaming Apps & Voic,12000,,,,https://www.amazon.in/HEURIX-Assistant-Streaming-Connectivity-Entertainment/dp/B0FLV3V1D4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-10,https://m.media-amazon.com/images/I/41bjlM2lE1L._AC_UY218_.jpg,
Google TV 50 UHD  Smart TV with Built-in Google Assistant | Streaming Apps & Voic,32500,,,,https://www.amazon.in/HEURIX-Assistant-Streaming-Connectivity-Entertainment/dp/B0FLY5GVKQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-11,https://m.media-amazon.com/images/I/71Nt0cKrziL._AC_UY218_.jpg,
D2C Vision 80 cm  Bezel - Less Android 11 with Bluetooth & Voice Assistant | HD Ready Smart LED TV |,11999,,,,https://www.amazon.in/D2C-Vision-inches-Bezel-D2CVELASLTBLK32/dp/B0BJQ9QXFF/ref=sr_1_12?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-12,https://m.media-amazon.com/images/I/615W8cYCpHL._AC_UY218_.jpg,
HEURIX Google LED TV 43 FHD Smart TV with Built-in Google Assistant | Streaming Apps & Voic,19999,,,,https://www.amazon.in/POLYTECH-inches-Frameless-Replacement-Warranty/dp/B0DZF9RC2F/ref=sr_1_13?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-13,https://m.media-amazon.com/images/I/417jtvP8MQL._AC_UY218_.jpg,
Google LED TV 43 FHD Smart TV with Built-in Google Assistant | Streaming Apps & Voic,22500,,,,https://www.amazon.in/HEURIX-Assistant-Streaming-Connectivity-Entertainment/dp/B0FLXYG1J7/ref=sr_1_14?dib=eyJ2IjoiMSJ9.QVa7JFfKT6kUxzNsC1IubxFpN7C5jGQsmAn2Hec-YFbVBSAPF6xYSoSYRWfpKZ83d4jXPW0WUORjwjb694mqUeSNtC6g_YimWh-LzvEuX7PtoY9DTW2BGNrhbF36gBP6H_dovGe86UVMbRSDQjaDrXx8OnXd52HL9PTm5AyYgByl0DAGqYayEEtQPkF2i0xrFY1Mg6SfWIRcV8a0gTY9jw.1bgQ1KJZaw3BP7Xiv_MdqpcrthRKdHBH0De5-qR2R_k&dib_tag=se&keywords=TV+4k+amazon&qid=1770885288&refinements=p_n_g-101015506708111%3A100445450031&rnid=100445373031&sr=8-14,,
acer 127 cm \ Ultra I Series 4K Ultra HD Smart LED Google TV AR50UDGGU2875BD,99990,4.1 stars,61% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjMwNjkzNTE4Njc1NDgwOjE3NzA4ODUyODA6c3BfYXRmX25leHQ6MzAwNTczNDQ0NzY3ODMyOjowOjo&url=%2FTCL-inches-Ultra-Google-55P71K%2Fdp%2FB0F3JLVHS9%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8%26dib_tag%3Dse%26keywords%3DTV%2B4k%2Bamazon%26qid%3D1770885280%26sr%3D8-18-spons%26aref%3DaYW0hJuVvf%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=aYW0hJuVvf&sp_cr=ZAZ,https://m.media-amazon.com/images/I/81tDKJC0lvL._AC_UY218_.jpg,
127 cm  Ultra I Series 4K Ultra HD Smart LED Google TV AR50UDGGU2875BD,63999,3.9 stars,63% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/acer-inches-Ultra-Google-AR50UDGGU2875BD/dp/B0FDW7819M/ref=sr_1_19?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-19,https://m.media-amazon.com/images/I/61Su2HvlRWL._AC_UY218_.jpg,
VW 108 cm \ Nano Sync Series 4K Ultra HD Smart JioTele OS QLED TV VW43JQ1 \(Black,299,3.8 stars,17% off,"FREE delivery Tue, 17 Feb",https://www.amazon.in/LUNAGARIYA-PRUSHTI-Leather-Protective-Control/dp/B08L9KBB1H/ref=sr_1_20?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-20,https://m.media-amazon.com/images/I/81Dc7MGS3YL._AC_UY218_.jpg,
108 cm  Nano Sync Series 4K Ultra HD Smart JioTele OS QLED TV VW43JQ1 (Black,63999,4.0 stars,"M.R.P: ₹63,999",,https://www.amazon.in/VW-inches-Ultra-JioTele-VW43JQ1/dp/B0FDBJB455/ref=sr_1_21?dib=eyJ2IjoiMSJ9.YbAmQCn8ULBCuRPC--akH7XLhL6srjUadCj_tmLdiS3aFYrDHqpf2mcTIrGm-yhHn2HcTu98xa_ITpF16uIWjFiv5g5M9Cwf6A041XwHOe-ojzA-xi_gNoHQ0-jssuZMmipeKGCXnqF_aR7z_5IhBIuHwufQ5ljlfE0_yqTOOYNbqqm7-5cnkTupLrrqPAgr9mn0HqRF_Y0RayWxQ2LVq6g9IDvA9PeM6xOHS9SxxX0.bt7dAXjwiDenRRy1Znamr4awXNfeO--0X4mRd5TCCy8&dib_tag=se&keywords=TV+4k+amazon&qid=1770885280&sr=8-21,"https://m.media-amazon.com/images/S/al-eu-726f4d26-7fdb/f4960916-14aa-4867-ac4e-be1575c9cd9b._CR0,0,4049,971_AC_SX130_SY60_CB1169409_QL70_.jpg",
TCL 108 cm  Metallic Bezel Less Series 4K Ultra HD Smart LED Google TV 43V6C (Black,52990,4.0 stars,59% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTU1NTM0MTk0NTg5NDExOjE3NzA4ODUyODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU4NzUzNzA3NjEzMjo6MDo6&url=%2FTCL-inches-Metallic-Google-43V6C%2Fdp%2FB0F2J7JVR1%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26cv_ct_cx%3DTV%2B4k%2Bamazon%26keywords%3DTV%2B4k%2Bamazon%26pd_rd_i%3DB0F2J7JVR1%26pd_rd_r%3D930ad167-25d4-41cb-86bc-804749b03e44%26pd_rd_w%3DCZynM%26pd_rd_wg%3DbCstG%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3D6BZJKM485A02H30MAX4B%26qid%3D1770885280%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-17-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DRDi2MXjlui%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=RDi2MXjlui&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71keqeuJ0eL._AC_UL320_.jpg,
Sponsored Ad - TCL 139 cm \ 4K Ultra HD Smart QLED Google TV 55P71K,35990,4.0 stars,50% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTU1NTM0MTk0NTg5NDExOjE3NzA4ODUyODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU1MDQ1NDAwMDIzMjo6MTo6&url=%2FTCL-inches-Smart-Google-40V5C%2Fdp%2FB0DZHRYFG7%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26cv_ct_cx%3DTV%2B4k%2Bamazon%26keywords%3DTV%2B4k%2Bamazon%26pd_rd_i%3DB0DZHRYFG7%26pd_rd_r%3D930ad167-25d4-41cb-86bc-804749b03e44%26pd_rd_w%3DCZynM%26pd_rd_wg%3DbCstG%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3D6BZJKM485A02H30MAX4B%26qid%3D1770885280%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-18-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3Drw8RXFdKm0%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=rw8RXFdKm0&sp_cr=ZAZ,https://m.media-amazon.com/images/I/81SyxW8k2nL._AC_UL320_.jpg,
TCL 139 cm  4K Ultra HD Smart QLED Google TV 55P71K,99990,4.1 stars,61% off,"FREE delivery as soon as Sat, 14 Fe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTU1NTM0MTk0NTg5NDExOjE3NzA4ODUyODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU3MzQ0NDc2NzgzMjo6Mjo6&url=%2FTCL-inches-Ultra-Google-55P71K%2Fdp%2FB0F3JLVHS9%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26cv_ct_cx%3DTV%2B4k%2Bamazon%26keywords%3DTV%2B4k%2Bamazon%26pd_rd_i%3DB0F3JLVHS9%26pd_rd_r%3D930ad167-25d4-41cb-86bc-804749b03e44%26pd_rd_w%3DCZynM%26pd_rd_wg%3DbCstG%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3D6BZJKM485A02H30MAX4B%26qid%3D1770885280%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-19-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DaYW0hJuVvf%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=aYW0hJuVvf&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71mA83yc8xL._AC_UL320_.jpg,
